loan_id,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
lp001002,male,no,0,graduate,no,5849,0.0,,360.0,1.0,urban,y
lp001003,male,yes,1,graduate,no,4583,1508.0,128.0,360.0,1.0,rural,n
lp001005,male,yes,0,graduate,yes,3000,0.0,66.0,360.0,1.0,urban,y
lp001006,male,yes,0,not graduate,no,2583,2358.0,120.0,360.0,1.0,urban,y
lp001008,male,no,0,graduate,no,6000,0.0,141.0,360.0,1.0,urban,y
lp001011,male,yes,2,graduate,yes,5417,4196.0,267.0,360.0,1.0,urban,y
lp001013,male,yes,0,not graduate,no,2333,1516.0,95.0,360.0,1.0,urban,y
lp001014,male,yes,3+,graduate,no,3036,2504.0,158.0,360.0,0.0,semiurban,n
lp001018,male,yes,2,graduate,no,4006,1526.0,168.0,360.0,1.0,urban,y
lp001020,male,yes,1,graduate,no,12841,10968.0,349.0,360.0,1.0,semiurban,n
lp001024,male,yes,2,graduate,no,3200,700.0,70.0,360.0,1.0,urban,y
lp001027,male,yes,2,graduate,,2500,1840.0,109.0,360.0,1.0,urban,y
lp001028,male,yes,2,graduate,no,3073,8106.0,200.0,360.0,1.0,urban,y
lp001029,male,no,0,graduate,no,1853,2840.0,114.0,360.0,1.0,rural,n
lp001030,male,yes,2,graduate,no,1299,1086.0,17.0,120.0,1.0,urban,y
lp001032,male,no,0,graduate,no,4950,0.0,125.0,360.0,1.0,urban,y
lp001034,male,no,1,not graduate,no,3596,0.0,100.0,240.0,,urban,y
lp001036,female,no,0,graduate,no,3510,0.0,76.0,360.0,0.0,urban,n
lp001038,male,yes,0,not graduate,no,4887,0.0,133.0,360.0,1.0,rural,n
lp001041,male,yes,0,graduate,,2600,3500.0,115.0,,1.0,urban,y
lp001043,male,yes,0,not graduate,no,7660,0.0,104.0,360.0,0.0,urban,n
lp001046,male,yes,1,graduate,no,5955,5625.0,315.0,360.0,1.0,urban,y
lp001047,male,yes,0,not graduate,no,2600,1911.0,116.0,360.0,0.0,semiurban,n
lp001050,,yes,2,not graduate,no,3365,1917.0,112.0,360.0,0.0,rural,n
lp001052,male,yes,1,graduate,,3717,2925.0,151.0,360.0,,semiurban,n
lp001066,male,yes,0,graduate,yes,9560,0.0,191.0,360.0,1.0,semiurban,y
lp001068,male,yes,0,graduate,no,2799,2253.0,122.0,360.0,1.0,semiurban,y
lp001073,male,yes,2,not graduate,no,4226,1040.0,110.0,360.0,1.0,urban,y
lp001086,male,no,0,not graduate,no,1442,0.0,35.0,360.0,1.0,urban,n
lp001087,female,no,2,graduate,,3750,2083.0,120.0,360.0,1.0,semiurban,y
lp001091,male,yes,1,graduate,,4166,3369.0,201.0,360.0,,urban,n
lp001095,male,no,0,graduate,no,3167,0.0,74.0,360.0,1.0,urban,n
lp001097,male,no,1,graduate,yes,4692,0.0,106.0,360.0,1.0,rural,n
lp001098,male,yes,0,graduate,no,3500,1667.0,114.0,360.0,1.0,semiurban,y
lp001100,male,no,3+,graduate,no,12500,3000.0,320.0,360.0,1.0,rural,n
lp001106,male,yes,0,graduate,no,2275,2067.0,,360.0,1.0,urban,y
lp001109,male,yes,0,graduate,no,1828,1330.0,100.0,,0.0,urban,n
lp001112,female,yes,0,graduate,no,3667,1459.0,144.0,360.0,1.0,semiurban,y
lp001114,male,no,0,graduate,no,4166,7210.0,184.0,360.0,1.0,urban,y
lp001116,male,no,0,not graduate,no,3748,1668.0,110.0,360.0,1.0,semiurban,y
lp001119,male,no,0,graduate,no,3600,0.0,80.0,360.0,1.0,urban,n
lp001120,male,no,0,graduate,no,1800,1213.0,47.0,360.0,1.0,urban,y
lp001123,male,yes,0,graduate,no,2400,0.0,75.0,360.0,,urban,y
lp001131,male,yes,0,graduate,no,3941,2336.0,134.0,360.0,1.0,semiurban,y
lp001136,male,yes,0,not graduate,yes,4695,0.0,96.0,,1.0,urban,y
lp001137,female,no,0,graduate,no,3410,0.0,88.0,,1.0,urban,y
lp001138,male,yes,1,graduate,no,5649,0.0,44.0,360.0,1.0,urban,y
lp001144,male,yes,0,graduate,no,5821,0.0,144.0,360.0,1.0,urban,y
lp001146,female,yes,0,graduate,no,2645,3440.0,120.0,360.0,0.0,urban,n
lp001151,female,no,0,graduate,no,4000,2275.0,144.0,360.0,1.0,semiurban,y
lp001155,female,yes,0,not graduate,no,1928,1644.0,100.0,360.0,1.0,semiurban,y
lp001157,female,no,0,graduate,no,3086,0.0,120.0,360.0,1.0,semiurban,y
lp001164,female,no,0,graduate,no,4230,0.0,112.0,360.0,1.0,semiurban,n
lp001179,male,yes,2,graduate,no,4616,0.0,134.0,360.0,1.0,urban,n
lp001186,female,yes,1,graduate,yes,11500,0.0,286.0,360.0,0.0,urban,n
lp001194,male,yes,2,graduate,no,2708,1167.0,97.0,360.0,1.0,semiurban,y
lp001195,male,yes,0,graduate,no,2132,1591.0,96.0,360.0,1.0,semiurban,y
lp001197,male,yes,0,graduate,no,3366,2200.0,135.0,360.0,1.0,rural,n
lp001198,male,yes,1,graduate,no,8080,2250.0,180.0,360.0,1.0,urban,y
lp001199,male,yes,2,not graduate,no,3357,2859.0,144.0,360.0,1.0,urban,y
lp001205,male,yes,0,graduate,no,2500,3796.0,120.0,360.0,1.0,urban,y
lp001206,male,yes,3+,graduate,no,3029,0.0,99.0,360.0,1.0,urban,y
lp001207,male,yes,0,not graduate,yes,2609,3449.0,165.0,180.0,0.0,rural,n
lp001213,male,yes,1,graduate,no,4945,0.0,,360.0,0.0,rural,n
lp001222,female,no,0,graduate,no,4166,0.0,116.0,360.0,0.0,semiurban,n
lp001225,male,yes,0,graduate,no,5726,4595.0,258.0,360.0,1.0,semiurban,n
lp001228,male,no,0,not graduate,no,3200,2254.0,126.0,180.0,0.0,urban,n
lp001233,male,yes,1,graduate,no,10750,0.0,312.0,360.0,1.0,urban,y
lp001238,male,yes,3+,not graduate,yes,7100,0.0,125.0,60.0,1.0,urban,y
lp001241,female,no,0,graduate,no,4300,0.0,136.0,360.0,0.0,semiurban,n
lp001243,male,yes,0,graduate,no,3208,3066.0,172.0,360.0,1.0,urban,y
lp001245,male,yes,2,not graduate,yes,1875,1875.0,97.0,360.0,1.0,semiurban,y
lp001248,male,no,0,graduate,no,3500,0.0,81.0,300.0,1.0,semiurban,y
lp001250,male,yes,3+,not graduate,no,4755,0.0,95.0,,0.0,semiurban,n
lp001253,male,yes,3+,graduate,yes,5266,1774.0,187.0,360.0,1.0,semiurban,y
lp001255,male,no,0,graduate,no,3750,0.0,113.0,480.0,1.0,urban,n
lp001256,male,no,0,graduate,no,3750,4750.0,176.0,360.0,1.0,urban,n
lp001259,male,yes,1,graduate,yes,1000,3022.0,110.0,360.0,1.0,urban,n
lp001263,male,yes,3+,graduate,no,3167,4000.0,180.0,300.0,0.0,semiurban,n
lp001264,male,yes,3+,not graduate,yes,3333,2166.0,130.0,360.0,,semiurban,y
lp001265,female,no,0,graduate,no,3846,0.0,111.0,360.0,1.0,semiurban,y
lp001266,male,yes,1,graduate,yes,2395,0.0,,360.0,1.0,semiurban,y
lp001267,female,yes,2,graduate,no,1378,1881.0,167.0,360.0,1.0,urban,n
lp001273,male,yes,0,graduate,no,6000,2250.0,265.0,360.0,,semiurban,n
lp001275,male,yes,1,graduate,no,3988,0.0,50.0,240.0,1.0,urban,y
lp001279,male,no,0,graduate,no,2366,2531.0,136.0,360.0,1.0,semiurban,y
lp001280,male,yes,2,not graduate,no,3333,2000.0,99.0,360.0,,semiurban,y
lp001282,male,yes,0,graduate,no,2500,2118.0,104.0,360.0,1.0,semiurban,y
lp001289,male,no,0,graduate,no,8566,0.0,210.0,360.0,1.0,urban,y
lp001310,male,yes,0,graduate,no,5695,4167.0,175.0,360.0,1.0,semiurban,y
lp001316,male,yes,0,graduate,no,2958,2900.0,131.0,360.0,1.0,semiurban,y
lp001318,male,yes,2,graduate,no,6250,5654.0,188.0,180.0,1.0,semiurban,y
lp001319,male,yes,2,not graduate,no,3273,1820.0,81.0,360.0,1.0,urban,y
lp001322,male,no,0,graduate,no,4133,0.0,122.0,360.0,1.0,semiurban,y
lp001325,male,no,0,not graduate,no,3620,0.0,25.0,120.0,1.0,semiurban,y
lp001326,male,no,0,graduate,,6782,0.0,,360.0,,urban,n
lp001327,female,yes,0,graduate,no,2484,2302.0,137.0,360.0,1.0,semiurban,y
lp001333,male,yes,0,graduate,no,1977,997.0,50.0,360.0,1.0,semiurban,y
lp001334,male,yes,0,not graduate,no,4188,0.0,115.0,180.0,1.0,semiurban,y
lp001343,male,yes,0,graduate,no,1759,3541.0,131.0,360.0,1.0,semiurban,y
lp001345,male,yes,2,not graduate,no,4288,3263.0,133.0,180.0,1.0,urban,y
lp001349,male,no,0,graduate,no,4843,3806.0,151.0,360.0,1.0,semiurban,y
lp001350,male,yes,,graduate,no,13650,0.0,,360.0,1.0,urban,y
lp001356,male,yes,0,graduate,no,4652,3583.0,,360.0,1.0,semiurban,y
lp001357,male,,,graduate,no,3816,754.0,160.0,360.0,1.0,urban,y
lp001367,male,yes,1,graduate,no,3052,1030.0,100.0,360.0,1.0,urban,y
lp001369,male,yes,2,graduate,no,11417,1126.0,225.0,360.0,1.0,urban,y
